,announcement_id,type_source,estate_type,price,area,price_m2,room_count,meuble,postal_code,latitude,longitude,description,collected_date,data_source,type_owner,target
88238,slg_195624019,rentals,Maison,640.0,26.666666666666668,24.0,2.0,False,33700,,,"Maison/Villa
Location Maison/Villa - MERIGNAC 640 € Maison T1 bis en bon état de 27 m2. LOCATION COURTE DUREE. Comprenant une entrée, un séjour, une cuisine aménagée, une salle de bain et un WC. Proche transports et commerces. fd 210€",2022-12-17,seloger,0,0
62513,slg_187667431,sales,Appartement,336000.0,42.99974404914256,7814.0,2.0,False,94120,,,,2022-06-17,seloger,0,3
96018,slg_201172929,sales,Appartement,613700.0,50.0,12274.0,2.0,False,75013,,,"Appartement neuf
Appartement neuf à vendre - Appartement 2 pièces appartement 2 pièces de 50m2 Profitez également d'un balcon de 3m² Situé à PARIS dans une belle résidence de standing à venir. Au cœur de la Rive gauche à Paris 13e dans le nouveau quartier Masséna. Emplacement idéal à proximité de l'université Paris Diderot et à 10 min à pied de la gare [...]",2023-04-17,seloger,0,1
66192,slg_197323961,sales,Appartement,399000.0,42.0,9500.0,2.0,True,75013,,,"Un dernier étage au calme Métro TOLBIAC. En plein cœur du 13ème arrondissement, un appartement 3 pièces situé au 5ème et dernier étage d'un immeuble ancien comprenant; une entrée, une salle à manger avec cuisine ouverte, un séjour, une chambre, une salle de bains et un wc séparé. Une cave complète ce bien. Lumineux, au calme absolu, à visiter;",2023-01-29,seloger,0,0
37709,slg_183488673,sales,Appartement,249775.0,22.00079274200652,11353.0,1.0,True,94300,,,"Studio
Appartement à vendre - 94300 VINCENNES - METRO SAINT-MANDE - DERNIER ETAGE - BALCON 6m² - Efficity, L'agence qui estime votre bien en ligne, vous propose ce LUMINEUX studio de 22m² loi Carrez, avec un BALCON de 6m². Situé dans un bel immeuble ancien, il se compose d'une entrée avec de nombreux rangements, d'une pièce de vie de 12,5m² avec un grand [...]",2022-03-15,seloger,0,1
4409,slg_181384345,sales,Appartement,158000.0,56.00850762141085,2821.0,2.0,False,95300,,,"Appartement
IDEAL INVESTISSEUR!! Venez visiter ce grand 2 pièces qui n'attend qu'à être rénové. Conformément à l'article L.561-5 et suivants du Code Monétaire et Financier, il vous sera demandé de nous présenter une pièce d'identité avant chaque visite. Copropriété de 19 lots (Pas de procédure en cours). Charges annuelles : 720.00 euros.",2022-02-28,seloger,0,1
91023,slg_197208185,sales,Maison,127000.0,78.98009950248756,1608.0,3.0,False,16000,,,"Je vous invite à découvrir, cette maison de ville proche de toutes commodités, bus, écoles et commerces. Implantée sur une parcelle de terrain de 248m2, ce bien se compose d'une véranda donnant accès sur la cuisine, un salon, salle à manger avec double exposition et un toilette. L'étage vous accueil sur un palier desservant deux chambres et une salle de douche.Un garage indépendant complète ce bien. Taxe foncière : 1400 euros Double vitrage (2016-2018), couverture refaite (2014), isolation des combles datant de (2019). Travaux à prévoir (chauffage, électricité). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : Prix de vente : 127 000 euros Honoraires charge vendeur Contactez votre conseiller SAFTI : Séverine BOULESTEIX - EI - Agent commercial immatriculé au RSAC de ANGOULEME sous le numéro 838 517 019",2023-01-27,seloger,0,1
47143,slg_184649873,sales,Appartement,232000.0,80.0,2900.0,4.0,True,95300,,,"Appartement
Appartement à vendre - EXCLUSIVITE DUPONT IMMOBILIER : PONTOISE. BEL APPARTEMENT avec Balcon et Box comprenant: entrée, cuisine meublée séparée, très belle pièce à vivre de plus de 33 m2 donnant sur balcon avec grandes baies vitées, Deux belles chambres (11,35 m2 et 12,55 m2), salle douches, wc. Deux Caves et Un Box. Nombreux rangements. TRES [...]",2022-04-23,seloger,0,1
11273,slg_182747585,sales,Maison,232000.0,40.0,5800.0,2.0,False,93270,,,"Maison/Villa
SPÉCIAL INVESTISSEUR OU PETIT BUDGET !! Maison de deux pièces à retaper entièrement vous pouvez si vous le désirez en attendant vous loger dans une dépendance de deux pièces quasiment terminée. Beaucoup de possibilités s'offrent à vous N'hésitez pas à nous appeler pour plus de renseignements. A VOIR !!",2022-03-09,seloger,0,1
44589,slg_184765259,rentals,Appartement,1360.0,42.5,32.0,2.0,True,75012,,,"Appartement
Location Appartement - Nation ou Daumesnil dans résidence récente 2 pièces meublé et refait à neuf de 42.04 m² Carrez et un balcon de 6.81 m², composé d'une entrée avec placards, d'un séjour de 16 m² sur balcon S/O au calme et sur jardin, d'une cuisine entièrement équipée, d'une chambre avec rangements, d'une salle de bains avec wc. Electricité [...]",2022-04-10,seloger,0,1
