,announcement_id,type_source,estate_type,price,area,price_m2,room_count,meuble,postal_code,latitude,longitude,description,collected_date,data_source,type_owner,target
179,slg_182480127,sales,Appartement,725000.0,68.2995760715968,10614.999999999998,3.0,False,75017,,,"Appartement
Liberkeys vous propose en exclusivité cet appartement T3 de 68,3m², situé Rue du Général Henrys, dans le 17ème arrondissement de Paris. Sur le bien : Appartement de 3 pièces en parfait état. Le bien est composé d'une entrée avec rangements, d'un séjour de 35,18m² avec sa cuisine américaine équipée ouverte sur ce dernier, de deux chambres, d'une",2022-03-02,seloger,0,1
5927,slg_195323627,rentals,Appartement,768.0,42.66666666666666,18.0,2.0,True,33400,,,"Proche du Domaine universitaire /KEDGE / CREPS.En Résidence sécurisée , appartement T2 entièrement meublé et équipé , entièrement rénové , avec séjour , cuisine équipée , 1 chambre , salle d'eau , 1 place de parking couverte. 718 €+50 € ( eau et parties communes incluses) Référence exigées . Réf. annonce : 2355108121858",2022-12-09,seloger,0,1
7082,slg_194524325,sales,Appartement,424611.0,60.998563424795286,6961.0,3.0,False,33000,,,"EXCLU RETOUR A LA VENTE T3 BORDEAUX Bordeaux Appartement 3 pièces d'une surface de 61m² constitué d'une entrée, d'un séjour-cuisine, de 2 chambres et d'une salle de bains. Vous profiterez d'un cadre vie agréable dans cette résidence de standing idéalement localisée À proximité de toutes commodités ( Commerces, Transports, Écoles ). Un parking en sous-sol inclus. Eligibilité Pinel. Qualité BBC, faibles charges, frais de notaire réduits. Photos de synthèse non contractuelles. Pour toute demande d'information supplémentaire contactez Joffrey tous les jours même le dimanche (tel, mail, WhatsApp)",2022-11-22,seloger,0,1
7431,slg_186148839,rentals,Appartement,890.0,21.19047619047619,42.0,1.0,True,75013,,,"Studio
Location Appartement - REF 3289 M- Montant des charges 30 € soit un loyer de 920 € Situé à 100m du Métro Olympiades (L14), joli studio meublé, entièrement refait à neuf, comprenant : une entrée, un séjour (canapé convertible, penderie, TV), une cuisine ouverte, aménagée et équipée (lave-linge), une salle de douche avec WC intégré. [...]",2022-05-13,seloger,0,0
4578,slg_184638893,sales,Maison,339962.0,79.99105882352941,4250.0,4.0,False,95490,,,"Maison/Villa
Maison/Villa à vendre - Dans un quartier calme, à quelques minutes à pied du Coeur de ville et de toutes les commodités (écoles, commerces, transports), à 10min du RER A et de l'A15. Venez découvrir cette maison individuelle avec au rez-de-chaussée w.c., cuisine équipée et aménagée ouverte, séjour avec poêle à granules, véranda. A l'étage le [...]",2022-04-16,seloger,0,1
3680,slg_192790483,rentals,Appartement,895.0,74.58333333333333,12.0,3.0,False,33000,,,"33110 LE BOUSCAT BORDEAUX METROPOLE - contact : Méghane MESTADIER - GEREZ VOUS-MÊME VOTRE RENDEZ-VOUS ! Cliquez sur « envoyer un message » ou « demande de contact », envoyez vos informations, un mail retour vous permettra de réserver directement votre créneau de visite. 33200 BORDEAUX CAUDERAN - A deux pas du centre animé de Caudéran à proximité de la ligne de bus 2, 33 et 41 et à proximité immédiate des services et commerces (pharmacie, boulangerie, medecins..) venez découvrir cet agréable appartement T3 de 74m² situé au 4 ème étage avec ascenseur. Il se compose d'une entrée avec placards desservant la pièce de vie menant au premier balcon avec une vue dégagée. La cuisine séparée est aménagée et équipée de placards, plaques de cuisson et d'une hotte. Vient ensuite un dégagement avec placards donnant accès aux 2 chambres, l'une d'elle disposant d'un placard et d'un balcon privé. Pour finir, la salle de bain et un WC séparé. Cet appartement dispose d'une place de parking en sous-sol et d'une cave . - DPE : E Zone soumise à encadrement des loyers. Loyer de référence : 777 euros - Loyer de référence majoré : 932,40 euros- Complément de loyer : 0 euros. Loyer charges comprises 895 euros/mois dont provision pour charges 72 euros pour entretien des communs, et eau froide - Dépôt de garantie : 823 euros - Honoraires d'agence à charge locataire : 895 euros (dont 673 euros pour la visite, la constitution du dossier et la rédaction d'acte et 222 euros pour l'état des lieux d'entrée). AXEL IMMOBILIER - 9 Place Gambetta – 33110 LE BOUSCAT –",2022-10-15,seloger,0,1
3274,slg_196722911,rentals,Appartement,883.0,73.58333333333333,12.0,3.0,False,33800,,,"Appartement
Location Appartement - Appartement T3 bis de 74 m², situé 1er étage dans une jolie rue au calme proche de la gare. Disponible dès le 04/02/2023. Dépôt de garantie 1 mois de loyer HC. Honoraires agence 962 euros TTC (visites, étude de dossier, rédaction de bail et état des lieux entrant). CONTACT PAR MAIL UNIQUEMENT !",2023-01-17,seloger,0,1
6140,slg_187893313,rentals,Appartement,750.0,20.27027027027027,37.0,1.0,False,94160,,,,2022-06-21,seloger,0,1
6901,slg_195724015,sales,Autre,221600.0,90.00812347684808,2462.0,4.0,False,16600,,,"Projet de construction
Maison/Villa à vendre - VENTE d'une maison T4 à Touvre MAISON 4 PIÈCES A CONSTRUIRE - PROCHE ANGOULÊME À vendre à Touvre (16600) : maison neuve 4 pièces de 97 m² et de 791 m² de terrain. La maison de 4 pièces offre trois chambres, une cuisine et une salle de bains. À dix minutes : gare, écoles. Nationales N141 et N10 à 8 km. Elle est à vendre pour [...]",2022-12-20,seloger,0,0
3434,slg_197857161,rentals,Appartement,1098.0,78.42857142857143,14.0,3.0,True,33000,,,"Appartement
Location Appartement - Proximité place Gambetta, dans un immeuble pierre, T3 au 2ème étage comprenant un séjour avec rangements, un cuisine séparée aménagée, équipée d'une plaque de cuisson, un four, un lave-vaisselle et une hotte aspirante, deux chambres dont une avec cheminée décorative, une salle de bains, un WC.",2023-02-23,seloger,0,0
5498,slg_180720669,sales,Maison,199900.0,86.01549053356283,2324.0,4.0,False,78980,,,"Maison ancienne
PROCHE DE BREVAL ET DE SA GARE (45 minutes direction St-Lazare) Dans commune avec écoles, collège et commerces, gare à pied, maison ancienne à restaurer offrant entrée, cuisine, salon/salle à manger avec cheminée, 2 grandes chambres, salle d'eau, wc. Grenier de 86 m² aménageable, garage et grange de 64 m², cave voûtée. Terrain de 646 m². Volets rou",2022-03-09,seloger,0,1
7804,slg_195366465,sales,Appartement,258860.0,37.00114351057747,6996.0,1.0,False,94120,,,"Studio
Appartement neuf à vendre - FONTENAY SOUS BOIS - Studio Neuf proche Mairie! A SAISIR ! Contact Mr RICHARD 6j/7 07 61 32 38 26 . Bien situé entre la mairie (5 min à pied du centre-ville) et la gare RER A « val de Fontenay » (à 12 min à pied) . GrandParis vous propose un FUTUR Studio Neuf de 37m². Exposition Ouest. POINTS FORTS : Lumineux, [...]",2022-12-10,seloger,0,1
5900,slg_181517589,sales,Autre,235000.0,84.99095840867993,2765.0,4.0,False,77440,,,"Projet de construction
Maison/Villa à vendre - Réalisez votre projet de construction de maison RE 2020 avec PAVILLONS D'ÎLE-DE-FRANCE (constructeur de maisons de gamme et sur-mesure depuis plus de 50 ans) : - Plan sur-mesure et personnalisé de 2 à 5 chambres - Mode de chauffage au choix - Grands choix d'équipements et de prestations - Matériaux de qualité selon les [...]",2022-04-13,seloger,0,0
51,slg_181869327,rentals,Appartement,973.0,74.84615384615384,13.000000000000002,3.0,False,33000,,,"Appartement
BORDEAUX A SAISIR! - 973 € Appartement T3 très bon état de 74 m2 donnant sur un loggia 8m2, arboré d'un parc de 200m2, En résidence sécurisée avec ascenseur ce logement comprend une entrée, un séjour double, cuisine aménagée équipée, deux chambres, salle de bain, WC. Cave et garage inclus. Proche transports et commerces. Nous contacter dl",2022-02-02,seloger,0,1
7762,slg_198062057,rentals,Appartement,1345.0,43.38709677419355,31.0,2.0,True,75013,,,"Situé à Paris, notre T2 non meublé se trouve rue du Champ de l'Alouette. Non loin de l'arrêt de métro Glacière, le logement est proche des commerces, et dispose d'un parking en option, d'une cave et d'un balcon, et eau chaude et chauffage sont individuels. L'appartement, lumineux, et très calme, est composé d'un grand séjour ouvrant sur une chambre et un grand balcon filant, sans vis-à-vis et orienté sud. La cuisine est semi-ouverte et équipée, la chambre dispose d'un placard intégré, et la salle de bain dispose d'une baignoire.",2023-02-18,seloger,1,0
1743,slg_186669723,rentals,Appartement,891.0,74.25,12.0,3.0,False,33700,,,"Appartement
Location Appartement - 33700 - MERIGNAC CAPEYRON - BORDEAUX METROPOLE - GEREZ VOUS-MÊME VOTRE RENDEZ-VOUS ! Cliquez sur « envoyer un message » ou « demande de contact », envoyez vos informations, un mail retour vous permettra de réserver directement votre créneau de visite. CONTACT : M.PIQUÉ - . Axel immobilier vous propose ce bel appartement T3 [...]",2022-05-24,seloger,0,1
