,announcement_id,type_source,estate_type,price,area,price_m2,room_count,meuble,postal_code,latitude,longitude,description,collected_date,data_source,type_owner,target
93290,slg_199132909,rentals,Appartement,1100.0,33.333333333333336,33.0,1.0,True,75020,,,"Studio
Location Appartement - Flatlooker vous permet de visiter et louer votre logement 100% en ligne. Situé à Paris, ce T1 meublé se trouve passage Gambetta. Non loin de l'arrêt de métro Télégraphe (Ligne 11), le logement est proche de toutes commodités, et dispose d'une cave. L'eau chaude et le chauffage sont inclus dans les [...]",2023-03-07,seloger,0,1
138051,slg_200202031,sales,Appartement,260000.0,24.000738484261053,10833.0,1.0,False,75013,,,"Studio
Appartement à vendre - Appartement en parfait état, belle hauteur sous plafond, lit escamotable, coin-cuisine équipé, salle d'eau WC, nombreux rangements. Profession libérale possible. Au rez de chaussée",2023-03-28,seloger,0,0
71618,slg_200150573,sales,Autre,184200.0,80.08695652173913,2300.0,4.0,False,16000,,,"Projet de construction
Maison/Villa à vendre - A ANGOULEME sur un terrain de 305 m², MAISONS BEBIUM vous propose de réaliser cette maison neuve bioclimatique prête à habiter d'une surface de 80.07 m² habitables avec 3 chambres. MAISONS BEBIUM vous propose les prestations suivantes :- Maison clé en main de 2 à 5 chambres- Pièce de vie vaste et lumineuse- Baie vitrée de 3 [...]",2023-03-27,seloger,0,0
74182,slg_190643123,sales,Appartement,297100.0,59.99596122778675,4952.0,3.0,False,33300,,,"T3 avec terrasse et piscine en rooftop. City Bordeaux Immobilier vous propose en exclusivité cet appartement T3 de 60 m² avec terrasse de 26 m² pour profiter des beaux jours, idéalement situé à Bordeaux. Il est exposé au sud-est, situé au premier étage d'une résidence récente sécurisée avec ascenseur. Le bâtiment comporte cinq étages. Ce T3 inclut un séjour, deux chambres et une cuisine aménagée et équipée. Il c3ompte également une salle de bains. La résidence bénéficie d'un chauffage collectif fonctionnant par géothermie. Le chauffage et l'eau sont compris dans les charges. L'intérieur de l'appartement est en excellent état. En annexe se trouve une piscine en rooftop avec une vue imprenable sur Bordeaux, Ainsi qu'une salle de sport. Pour vos véhicules, l'appartement est vendu avec une place de parking en intérieur. L'appartement est situé dans la commune de Bordeaux. On trouve plusieurs écoles (maternelle, primaires, élémentaire et collège) à moins de 10 minutes du bien. L'aéroport Bordeaux-Merignac est situé à moins de 14 km. Vous trouverez trois théâtres dans les environs. Il y a également un bureau de poste et de nombreux restaurants. Enfin 2 marchés animent le quartier. Découvrez toutes les originalités de cet appartement en vente en prenant RDV avec notre équipe. Visite virtuelle disponible sur notre site internet. Honoraires inclus de 4.25% TTC à la charge de l'acquéreur. Prix hors honoraires 285 000 euros. Dans une copropriété de 200 lots. Aucune procédure n'est en cours. Classe énergie A, Classe climat A.. Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2022 : 1.00 euros. Date de réalisation du DPE : 19-07-2016. Ce bien vous est proposé par un agent commercial.",2022-09-01,seloger,0,1
3222,slg_182547481,rentals,Appartement,783.0,39.15,20.0,2.0,False,33000,,,"Appartement
T2 Meublé Avenue Emile Counord, Résidence Counord, à proximité de l'arrêt de Tram C, bon état général, calme et lumineux, au 2ème étage avec ascenseur composé d'une entrée, d'un séjour, d'une chambre, d'une cuisine américaine équipée entièrement, d'une salle de bains et de WC indépendant; une place de parking en sous-sol Logement disponible de su",2022-02-18,seloger,0,0
69429,slg_189949013,rentals,Appartement,942.0,72.46153846153847,12.999999999999998,3.0,False,33000,,,,2022-08-09,seloger,0,0
51697,slg_168758223,sales,Appartement,185000.0,26.00140548137737,7115.0,1.0,True,33000,,,"Adresse prestigieuse- Triangle d'Or - pour cet appartement de type T1 au dernier étage d'un très bel immeuble Bourgeois. Il comprend une pièce à usage d'entrée- séjour avec alcôve, une cuisine indépendante, une salle de bains avec wc. Une cave compléte ce bien. Actuellement loué en bail nu 519 EUR +30 EUR de charges. Ideal investisseur. Ne tardez pas à venir le découvrir.",2022-05-13,seloger,0,1
142879,slg_194393917,sales,Appartement,425000.0,39.57169459962756,10740.0,2.0,True,75013,,,"Au pied de la Butte aux Cailles, appartement T2 traversant, au coeur d'une petite copropriété Art Déco de 1927 - Paris 13e - Moulinet - 2 Pièces (T2) - 39,57m2 - Voir plan et visite 360 - A 2 pas de la piscine de la Butte aux Cailles et Italie 2, un appartement confortable (39.57m2 Carrez) au rdc entre 2 cours plantées d'un immeuble Art Déco de 1927 à taille humaine très bien entretenu. Traversant NO/SE et prêt à emménager, après quelques peintures, il comprend une petite entrée accueillante distribuant une cuisine américaine entièrement équipée donnant sur le séjour, une chambre calme, une salle d'eau rénovée en 2020, toilette indépendante et un cagibi utile sur le palier. Idéalement nichée à l'écart de l'animation urbaine, au coeur de ce quartier inattendu qui bouge et continu de se réinventer se cachant entre la rue de Tolbiac et le marché Blanqui. Là s'entrecroisent de petites rues insoupçonnées, bordées de maisonnettes colorées à l'allure parfois énigmatique qui nous transportent au début du siècle dernier. Superbe première acquisition, base parisienne, libérales ou investissement.",2022-11-19,seloger,0,1
44026,slg_184719995,rentals,Appartement,410.0,15.76923076923077,26.0,1.0,True,33600,,,"Studio
Location Appartement - A RÉSERVER pour le 01/05/2022 .Proche Domaine Universitaire tramway B arrêt Bougnard .En résidence sécurisée (avec gardien ) , studio meublé de 16m² avec séjour , kitchenette, salle de bain , parking sécurisé avec BIP . , a deux pas du tramway B Bougnard. 390 €+20 € (eau,chauffage inclus ). . Réf. annonce : 2328908041626",2022-04-09,seloger,0,1
71077,slg_199003131,sales,Appartement,310200.0,61.31646570468472,5059.0,3.0,False,33000,,,"Appartement neuf
Appartement neuf à vendre - FRAIS DE NOTAIRE OFFERTS Offre commerciale exceptionnelle sur cet appartement fonctionnel et lumineux, s'ouvrant sur une loggia avec vue sur un espace vert. Vendu avec une place de parking en sous-sol. Le tout dans une résidence à l'architecture soignée, sécurisée et idéalement placée: tramway, commerces, cinéma, [...]",2023-03-04,seloger,0,1
