,announcement_id,type_source,estate_type,price,area,price_m2,room_count,meuble,postal_code,latitude,longitude,description,collected_date,data_source,type_owner,target
0,lbc_2069505860,rentals,Appartement,850.0,47.0,18.08510638297872,2.0,True,33700,44.8279,-0.62272,"Location T2 meublé 47 m2 Merignac
A louer T2 meublé Merignac Arlac , les conviviales 800€ et 60€ de charges.Résidence sécurisée avec piscine ,une place de parking,proche des commerces,à trois minutes de tram. Nombreux rangements,cuisine équipée,congélateur,micro onde ,lave linge,chauffage électrique,fibre optique et balcon. Disponible le 1er décembre 21 Premier contact par mail,garant ou garantie visal ou revenus supérieures à trois fois le loyer. Deux mois de caution. Dossier à envoyer:trois dernières feuilles de salaire,deux derniers avis d imposition (pour le garant aussi);précisez votre situation professionnelle et la durée du séjour estimée.",2022-01-06,leboncoin,1,1
1,lbc_2085207177,rentals,Appartement,615.0,41.0,15.0,2.0,False,33000,44.8367,-0.58107,"T2 bordeaux bassin a flot
T2 donnant sur les quais dans le quartier Bassin à Flot de Bordeaux Tramway en face de l'appartement et de nombreux commerces à proximité - Cuisine équipée - Séjour lumineux avec balcon - Salle de bain avec douche à l'italienne - WC séparés - 1 chambre Disponible immédiatement Merci de présenter votre situation personnelle et professionnelle dans un mail, ainsi que de nous communiquer votre numéro de téléphone pour échanger à ce sujet s'il vous plaît.",2022-01-06,leboncoin,0,1
2,lbc_2093247319,rentals,Appartement,600.0,25.0,24.0,1.0,True,33000,44.8367,-0.58107,"Studio meublé
Bonjour, loue studio meublé au chartron, proche toute commodité. Loyer 600€ hors charge Pour tout renseignements appeler le 0699079830",2022-01-06,leboncoin,1,1
3,lbc_2090366573,rentals,Appartement,550.0,20.0,27.5,1.0,False,33000,44.8367,-0.58107,"Recherche studio en gironde
Recherche appartement dans les allons tour de Bordeaux maximum dans un rayon de 30km merci",2022-01-06,leboncoin,1,1
4,lbc_2088543144,rentals,Appartement,750.0,17.0,44.11764705882353,1.0,True,33000,44.8367,-0.58107,"STUDIO meublé CHARTRONS 750 tout inclus
REPRISE DE BAIL BORDEAUX rue Notre Dame quartier CHARTRONS, à proximité des quais, de la Place Paul Doumer, Jardin Public Proche tramways. Dans bel immeuble pierres sécurisé, au calme, studio en bon état, pièce principale avec kitchenette équipée, salle d'eau avec wc, chauffage électrique. LOYER EST DE 750 € (tout inclus chauffage, électricité, eau) LE BIEN EST GERÉ PAR UN CABINET 221€",2022-01-06,leboncoin,1,1
5,lbc_2087499513,rentals,Appartement,680.0,18.0,37.77777777777778,1.0,False,33000,44.8367,-0.58107,"Location chambre Bordeaux
Location chambre seule, Bordeaux centre, quartier barrière du Médoc, Tram D 5’ à pieds. Lit 140, salle d’eau et wc séparés. Chambre climatisée. TV, cafetière Nespresso, micro-ondes, mini frigo, accès WiFi inclus. Linge fourni (nuit ou semaine, possible au mois avec supplément) Ménage inclus (1fois par semaine si location mensuelle) Location pour 2 nuits minimum. Nuitée: 60 euros 1 semaine: 290 euros Mois: 680 euros Disponible à partir du 10 janvier 2022",2022-01-06,leboncoin,1,1
6,lbc_2083779623,rentals,Appartement,815.0,35.0,23.285714285714285,2.0,True,33000,44.8367,-0.58107,"Mouneyra / palais de justice t2 meuble en duplex
MOUNEYRA / PALAIS DE JUSTICE Situé dans un bel immeuble pierre, venez visiter cet appartement en très bon état de type T2 en duplex de 34,96m² meublé de manière contemporaine. Au 1er et 2ème étage, ce charmant T2 comprend : séjour avec cuisine aménagée et équipée (Hotte, Plaques, Four, Réfrigérateur), à l'étage, chambre avec un grand dressing et une salle d'eau avec toilettes. Séjour très lumineux avec ses 3 grandes fenêtres. Appartement propre avec de jolies prestations (Cheminée, Parquet ancien). Calme et très agréable, très bien aménagé et équipé. Raccordé à la fibre. Disponibilité immédiate ! A VISITER RAPIDEMENT ! INFORMATIONS COMPLEMENTAIRES : Loyer charges comprises : 815,00€ dont 25,00€ de provisions sur charges (eau froide, nettoyage électricité des parties communes) Frais d'agence : 454,58€ dont 104,80 d'honoraires d'état des lieux d'entrée. Dépôt de garantie : 1 580,00€ (2 mois de loyers hors charges) Contact par téléphone au 07.49.02.73.00 ou par mail à location@intensimmo.com",2022-01-06,leboncoin,0,0
7,lbc_2076809073,rentals,Appartement,515.0,19.0,27.105263157894736,1.0,True,33000,44.8367,-0.58107,"Bergonié, joli studio meublé en parfait état
BERGONIE / PLACE SIMIOT A proximité du tramway (ligne B des facultés) et des commerces, emplacement idéal pour ce studio de 19 m² en parfait état. Situé en étage avec une jolie vue dégagée sur les toits d'une résidence étudiante sécurisée avec ascenseur (gardien, salle de sport, laverie...), ce T1 rénové dispose d'une pièce principale lumineuse avec kitchenette, d'un dégagement avec son grand placard et d'une salle d'eau avec toilettes. Cet appartement tout confort est loué en meublé. Très très bien situé pour un étudiant à deux pas des commerces et du tramway. Immeuble sécurisé et toujours entretenu. Disponible à compter du 22/12/2021 A VISITER TRÈS RAPIDEMENT ! INFORMATIONS COMPLÉMENTAIRES : Loyer mensuel charges comprises : 561.50€ dont 40.00€ de forfait de charges et 7.00€ de taxe des ordures ménagères. Honoraires TTC : 244.01€ dont 56.31€ d'honoraires d'état des lieux Dépôt de garantie : 1029.00€. Disponible au 22/12/2021. Contact par téléphone au 07.49.02.73.00 ou par mail à location@intensimmo.com",2022-01-06,leboncoin,0,0
8,lbc_2069867277,rentals,Appartement,600.0,28.0,21.428571428571427,1.0,False,33000,44.8367,-0.58107,"Loue studio à Bordeaux
Loue studio à Bordeaux au cours du chapeau rouge 28 m2 composé d'une pièce avec sa kitchenette, Coin cuisine avec frigo, plaques, hotte, micro onde Coin salle d'eau avec lavabo, douche, WC et emplacement machine à laver Canapé 2 places Libre à partir du 15/11/21",2022-01-06,leboncoin,1,1
9,lbc_2080833322,rentals,Appartement,480.0,21.0,22.857142857142858,1.0,False,33150,44.8583,-0.53053,"Appartement 1 pièce 21 m²
CENON 1 pièce 21,78 m² CENON : QUARTIER PALMER Proche TRAM et COMMODITES Dans résidence sécurisée avec PARKING Et ASCENSEUR, STUDIO avec BALCON Comprenant pièce de vie principale avec Kitchenette, salle d’eau avec wc. Assurance Multirisques Privilège *: 8.27 € / mois *Services facultatifs, voir conditions en agences Référence annonce : 1778733 Date de réalisation du diagnostic : 14/05/2020 Honoraires à la charge du locataire : 283 € TTC dont 65 € pour l’état des lieux Dépôt de garantie : 450 € Montant des charges : 30 € / mois Modalité de récupération des charges locatives : provision avec régularisation annuelle",2022-01-06,leboncoin,0,0
